,Mode of Study,Level of Study,Gender,House Area,Are you take any loan/sponsorship?,Income per Month,Device used in doing online classes,Do you have any web camera?,Internet Access Facilities,Type of quota,Network Speed in your area,Network Service Provider,Stability of internet connection,How many people in your house?,Comfortability when doing online learning,Level of understanding in online learning.,Disruption level during online learning.,Which method of online learning do you prefer?
337,0,3,0,1,1,4,6,0,1,0,0,1,2,1,3,3,2,0
338,0,2,0,0,1,2,6,1,1,0,2,2,3,1,2,2,3,1
339,0,2,0,0,1,4,5,1,5,3,0,1,3,1,3,1,4,1
340,0,2,0,1,0,4,5,0,5,3,2,26,2,1,2,2,2,1
341,0,2,0,1,1,4,7,1,6,1,0,18,2,2,3,2,2,0
342,0,2,1,1,0,4,6,1,4,1,0,11,2,1,2,2,2,1
343,0,2,0,1,1,4,6,1,6,3,0,13,2,1,1,1,3,0
344,0,3,1,1,0,4,7,1,5,3,0,18,2,2,4,1,3,1
345,0,1,1,0,0,0,5,0,0,1,1,1,1,1,2,1,1,1
346,0,4,0,0,1,0,5,1,4,2,0,11,2,1,2,2,2,0
347,0,2,0,1,1,4,2,1,6,3,2,27,2,1,2,2,2,1
348,0,3,0,1,0,0,6,1,6,3,0,3,2,1,2,2,1,0
349,0,2,0,0,1,4,6,0,4,1,0,3,2,1,2,2,2,1
350,0,2,0,0,1,4,8,0,0,1,0,2,2,1,2,2,2,1
351,0,3,0,0,1,2,6,1,0,0,2,1,2,1,0,0,3,0
352,0,2,1,1,0,0,5,1,7,3,2,13,3,1,4,3,2,0
353,0,2,0,1,1,4,6,1,7,2,0,4,2,1,2,2,2,1
354,0,2,1,0,1,4,6,1,1,1,0,11,2,2,2,2,3,1
355,0,3,0,1,1,4,7,1,7,2,2,3,3,1,3,3,1,1
356,0,2,1,1,0,4,6,0,6,3,0,11,2,1,1,1,1,1
357,0,2,0,1,1,4,6,1,5,3,1,8,2,1,2,2,2,1
358,0,2,0,1,0,4,6,1,5,3,2,2,4,2,2,2,3,1
359,0,2,0,0,1,4,6,1,1,3,0,13,0,1,2,1,2,1
360,0,2,1,0,1,4,6,1,1,1,0,11,2,1,2,2,2,1
361,0,2,0,1,1,4,1,1,6,3,2,13,2,1,2,2,2,1
362,0,2,1,1,1,0,6,1,0,3,2,14,1,2,0,0,4,1
363,0,2,0,0,0,4,5,0,5,3,0,14,2,2,1,1,4,1
364,0,2,0,1,0,4,6,0,1,3,0,13,2,2,2,1,4,0
365,0,2,0,1,0,4,6,1,0,1,2,2,2,1,2,2,2,1
366,0,2,1,1,0,4,6,1,7,3,2,1,4,1,3,3,0,1
367,0,2,0,1,0,4,6,1,7,3,0,13,2,1,2,0,0,1
368,0,2,1,1,1,4,6,1,0,3,2,13,2,1,2,2,2,1
369,0,2,0,1,1,4,6,1,1,3,0,1,2,1,2,2,2,1
370,0,2,0,1,0,4,5,1,0,0,0,3,2,1,2,2,2,1
371,0,3,1,1,1,4,1,1,6,3,0,11,1,2,2,2,3,1
372,0,2,1,1,1,4,6,1,6,3,0,13,2,1,2,2,2,1
373,0,2,0,0,1,0,5,0,4,3,2,3,1,2,2,2,2,1
374,0,3,1,1,0,0,6,0,6,0,2,11,1,1,0,1,4,0
375,0,3,0,0,0,0,7,1,6,3,0,2,3,1,2,3,2,0
376,0,3,1,1,1,4,5,0,5,3,0,18,0,2,0,0,0,0
377,0,2,1,1,0,4,5,1,4,0,2,4,2,1,2,2,2,1
378,0,2,1,1,0,4,6,1,6,0,0,11,2,1,2,2,2,1
